,Serial,Link,Address,Question,Answer Summary,Full Answer
187,432,https://islamqa.info/en/answers/432,"Obtaining a
    discount card in return for paying a certain amount","Question

                In some bookshops there are
      advertisements for a scheme whereby the customer pays a set amount of money each month and
      gets two things: he will be supplied with new books in a specific area of interest, such
      as fiqh, etc, and he will get a 10% discount if he wants to buy books from these stores.
      What is the ruling on this?",,"Praise be to Allah.This is a kind of gambling, concerning which Allaah says
    (interpretation of the meaning): 
“O you who believe! Intoxicants (all kinds of alcoholic
    drinks), gambling, al-ansaab (stone altars for making sacrifices to idols, etc.) and
    al-azlaam (arrows for seeking luck or decision) are an abomination of Shaytaan’s
    handiwork. So avoid (strictly all) that (abomination)…” [al-Maa’idah 5:90]
Gambling means everything that involves one side trying to take
    advantage of the other, so that one will be the winner and the other will be the loser.
    This is the shar’i ruling on gambling. So a man who pays 500 riyals every month, for
    example, may buy books for which his discount adds up to more than a thousand riyals, or
    he may not buy anything at all. If we suppose that he buys things for which the discount
    adds up to more than five hundred riyals, then he will be the winner, and the storekeeper
    will be the loser; if he does not buy anything, then the storekeeper will be the winner
    and the man will be the loser, because he paid 500 riyals and did not get anything in
    return. This transaction is a kind of gambling and is not permissible."
188,434,https://islamqa.info/en/answers/434,The Muslim belief concerning the destiny of non-Muslim monotheists in the Hereafter,"Question

                What do Muslims believe happens in the hereafter to Non-Muslims that believe in one God?",,"Praise be to Allah.
Your interest in studying Islam is something great, which we appreciate. Everyone should seek 
the truth wherever it may be, and follow it even if it differs from the way of their forefathers or 
the religion of the country or society in which they live, because salvation from the Fire of Hell 
on the Day of Judgement is more important than anything else.
One of the most important things that the would-be student of Islam should do is to consult 
authentic Islamic references, in order to understand the reality of this religion. For example, one 
should consult translations of the meanings of the Qur’an and the ahaadeeth (sayings) of the 
Prophet of Islam, Muhammad 
 (peace be upon him), ensuring that the translations are 
sound. But reading books written by non-Muslims, or by Muslims who do not really 
understand or practice their religion, is not a scholarly approach or a sound method of finding 
out the truth.
Returning to your question, what do Muslims believe will happen to atheists? Or for that 
matter, what about monotheists who are not Muslim? Will their fate be Hell in the Hereafter? 
The answer is that Allaah has clearly created everything, sent His blessings on His creation, and 
sent Messengers and Revealed Books to tell them that whoever believes in and worships Him 
alone, not associating any partner with Him, will enter Paradise, and whoever denies Him, or 
worships something else besides Him, or takes other gods instead of Him, or says that He has 
a wife or son, or that the angels are His daughters, or follows a law other than that which He 
revealed to judge between people in truth, or turns away from His religion, will be doomed in 
the Hereafter to the eternal punishment of Hell. This is exact justice, and this will be the fate 
deserved by the one who did not give his Creator His due.
Worshipping Allaah, obeying His commands and adhering to His prohibitions are basic 
matters, but they form the essence of the relationship between the Creator and His creation. 
Allah says:
""And I (Allaah) created not the jinns and men except they should worship Me (alone)."" 
[al-Dhaariyaat 51:56]
Messengers were sent with one message: to tell their people ""Worship Allaah, for you have no 
god besides Him.""
Hence we may understand just how far short the person falls who believes that Allaah is one 
and does not associate anything with Him, but does not worship or obey Him, but rebels 
against Him and fails to follow His religion or Law, or the Revelation and Messengers which He 
sent for him and people like him. Does such a person deserve to enter Paradise or Hell?
This is the person who says: ""I believe that there is One God Who created the universe, but I 
am going to stop there; I will not pray to Him or fast or perform Hajj or pay zakaat as He 
commanded. I am not going to carry out any duties towards Him; I will follow my own desires 
and do whatever I want, whether He permitted it or forbade it."" Can such a person attain 
salvation on the Day of Judgement?
Allaah sent Messengers to every nation, that they might worship Him and shun false deities. 
The last nation is this ummah, and the last Messenger is Muhammad 
 (peace be upon 
him). Allaah sent him for the whole of mankind, the entire world, and thus abrogated the 
previous laws and made this religion the best and most perfect and complete. Hence it is 
obligatory for everyone to enter this religion, for Allaah says (interpretation of the meaning):
""And whoever seeks a religion other than Islaam, it will never be accepted of him, and in the 
Hereafter he will be one of the losers."" [Aal ‘Imraan 3:85]
On this basis, the fate of one who says ""I believe in the idea of One God, but I do not want to 
be a Muslim, or I do not want to follow the last Revelation or the last Prophet,"" is clear.
Furthermore, the fate of an atheist, who rejects even the belief in God, is even clearer and more 
evident.
Finally, I hope that the matter is now clearer to you. I ask Allaah to guide us all to the truth and 
help us to follow it, for He is the best Supporter and Helper."
189,439,https://islamqa.info/en/answers/439,Evidence that only Allah is the Creator of life,"Question

                Please explain to me, according to the Qur’an, is it possible for a human to produce 
life? If not, then explain in detail about the cloning of animals and possibly humans, by 
humans.
Please give the answer in detail as it is confusing the minds of many, who think that in 
the next century science will conquer religion.",,"Praise be to Allah.
The evidence that Allah is the only Creator of life may be found in many places in the Qur’an and 
Sunnah. For example:
""Blessed is He in Whose Hand is the dominion, and He is Able to do all things,
Who has created death and life, that He may test you which of you is best in deed, and He is the 
All-Mighty, the Oft-Forgiving.""[al-Mulk 67:1-2]
""Is, then, He Who creates as one who creates not?""[al-Nahl 16:17]
""Yet they have taken besides Him other gods that created nothing but are themselves created . . .""[al-Furqaan 25:3]
Allah challenged all of mankind to create even the most insignificant creature, i.e. a fly, but no one 
could do that and no one ever will. Allah says:
""O mankind! A similitude has been coined, so listen to it (carefully): verily! Those on whom you call 
besides Allah cannot create (even) a fly, even though they combine together for the purpose. And if 
the fly snatched away a thing from them, they would have no power to release it from the fly. So 
weak are (both) the seeker and the sought.""[al-Hajj 22:73]
Imam al-Bukhari reported in his Saheeh from Abu Sa‘eed (may Allah be pleased with him) that the 
Prophet 
 (Peace & Blessings of Allah be upon Him) said: ""There is no created being but Allah created it."" In Arabic, the word ""khalaqa"" 
means to make out of nothing, which is something that only Allah can do; it is impossible for anyone 
except Allah to do this. It also carries the meaning of decreeing or foreordaining. [**]
See Fath al-Bari Sharh Saheeh al-Bukhari, 13/390.
The Religion of Allah (Islam) is proud and cannot be defeated by the kaafirs’ arrogance about the 
knowledge they possess. Allah says:
"". . . [they] are deceived by the life of this world . . .""[al-An‘aam 6:70]
""They know only the outside appearance of the life of this world, and they are heedless of the 
Hereafter.""[al-Rum 30:7]
We ask Allah to help us to be steadfast in our adherence to His Religion, and to make our end good. 
And Allah knows best."
190,449,https://islamqa.info/en/answers/449,An imam is guilty    of some secret sin; should he continue in his position as imam?,"Question

A young man is an imam in one of the mosques. He is, as he says, well-liked by the people at the mosque, but he knows deep down that he has shortcomings and is guilty of some sins, and does not deserve to be the imam or to have this love and respect from people. He fears that if he remains as imam of the mosque, he may become a hypocrite or show off. Should he stay in the mosque? Should he continue leading the people in prayer, or should he leave this position out of fear of becoming a hypocrite and show off?",,"Praise be to Allah.You describe this young man as being loved by his people, but he is guilty of some transgression which is a matter between him and his Lord. I say that the fact that Allah has blessed him with the position of imam and the love of his people dictates that he should give up his sin and stop transgressing against himself, and he should worship Allah properly, and give thanks to Allah, because the fact that a person is loved by his people and is their imam is a great blessing from Allah. Allah says (interpretation of the meaning):
“And the slaves of the Most Beneficient (Allah) are those who walk on the earth in humility and sedateness…
And those who say: ‘Our Lord… and make us leaders for the muttaqoon (the pious)…” [al-Furqaan 25:63-74]
Those who pray are among the pious, and the one who leads them in prayer is included in this aayah, “…and make us leaders for the muttaqoon (the pious)…” So let him praise Allah for this blessing, and stop transgressing against himself, and let him make this one of the means of bringing himself back to obedience to Allah, and let him fear Allah with regard to his status.
When he says that he is afraid he may show off, this is waswaas (insinuating thoughts) that the Shaytaan puts into a person’s mind whenever he wants to do an act of obedience to Allah. The Shaytaan comes to him and says, “You are showing off.” He has to cast this idea aside, ignore it and seek the help of Allah, for he always recites in his salaah the words, “Iyyaaka na’budu wa iyyaaka nasta’een (You (Alone) we worship, and You (Alone) we ask for help” [al-Fatihah 1:5 – interpretation of the meaning]."
191,451,https://islamqa.info/en/answers/451,Ruling on Removing Hair,"Question

 
Can a man shave his body hair if when he gets hot or does exercise he sweats? i.e from his chest,his back and his legs.",,"Praise be to Allah.In Islamic shari’ah, hair is divided into 3 types:
 
First: Hair that has been ordered to remain, such as man’s beard.
 
Second: Hair that has been ordered to be removed, such as pubic hair, the hair of the armpits, and the extension of the mustache if it reached the lips.
 
Third: Hair about which we are told nothing, such as hair of hands, legs, chest, and back; this hair is permissible to be removed and Allah is the most Knowledgeable."
192,452,https://islamqa.info/en/answers/452,She asked him to divorce her if he takes a second wife,"Question

My wife and i have discused me having a second wife and she sayes that if i do then she would devorse me.we did not get married by the kafirs but we do have a islamic contract. and there was no agreement on that contract forbiding me from taking a second wife.so my question is .Is it permisable for her to deny me this?And is'nt she making the hallal harram on me. my wife is a good muslimah (I.S.A.) and she would respect a answer whith proof. jazallahkum ma lakair",,"Praise be to Allah.If a man is able to marry a second wife, physically and financially, and he can treat both wives in a just manner, and he wants to take a second wife, then he is allowed to do so according to Islam. Allah says (interpretation of the meaning):
“… then marry (other) women of your choice, two or three, or four…” [al-Nisaa’ 4:3]
And this was the practice of the Prophet (peace and blessings of Allah be upon him), and of his Companions (may Allah be pleased with them), but apart from the Prophet, no one is permitted to have more than four wives.
It is well known that women are by nature jealous and reluctant to share their husband with other women. Women are not to be condemned for this jealousy, for it existed in thebest of righteous women, the Sahaabiyyaat, and even in the Mothers of the Believers [the wives of the Prophet (peace and blessings of Allah be upon him)]. But women should not let jealousy make them object to that which Allah has prescribed, and they should not try to prevent it; a wife should allow her husband to marry another woman for this is a kind of cooperating in righteousness and piety. According to a hadeeth whose authenticity is agreed upon, the Prophet (peace and blessings of Allah be upon him) said: “Whoever pays attention to his brother’s needs, Allah will pay attention to his needs.”
The first wife’s consent is not a prerequisite for a man to take another wife. The Standing Committee for Issuing Fatwas was asked about this and replied as follows:
“It is not obligatory for the husband, if he wants to take a second wife, to have the consent of his first wife, but it is good manners and kindness to deal with her in such a manner that will reduce the hurt which women naturally feel in such situations. This is done by being kind to her and speaking to her in a gentle and pleasant manner, and by spending whatever money may be necessary in order to gain her acceptance of the situation.”
Concerning her request for divorce if her husband wants to marry another wife, this is a mistake. But they should examine the situation, and if she really cannot cope with living with another wife, then she can ask him for khula’ [ a kind of divorce instigated by the wife, whereby she forgoes the mahr]. If she can cope with living with the second wife, but it hurts her to do so, then she should be patient and seek the pleasure of Allah. Thawbaan (may Allah be pleased with him) narrated that the Messenger (peace and blessings of Allah be upon him) said:
“No woman asks her husband for a divorce for no reason, but the fragrance of Paradise is forbidden for her.” (Narrated by Abu Dawood and others, and classed as saheeh by al-Albani, may Allah have mercy on him).
If she bears it with patience, then Allah will make it easier for her and will expand her chest (i.e., grant her peace and calm), and will compensate her with something good. The husband must also help her by treating her kindly, being patient with her for any jealousy etc. on her part, and overlooking her mistakes. And Allah is the source of help."
193,454,https://islamqa.info/en/answers/454,Copying computer programs,"Question

I want to know if copying software on my hard drive that I have not bought is wrong.",,"Praise be to Allah.The Permanent Committee for Iftaa' (Islamic Rulings), chaired by Sheikh Abdul-Aziz bin Baz, has replied to this question by ruling that it is not permissible to copy software without permission from the original author or the copyright holder based on the following three haadeeth of the Prophet (peace be upon him):
(1) ""Muslims are to honor their agreements (with others)"";
(2) ""A Muslim's wealth is forbidden for others to use without his permission;"" and,
(3) ""Whoever is the first to acquire a mubaah (something lawful to acquire) is entitled to keep it"". This applies to both Muslims and non-believers (who are not engaged in an act of war with Muslims) because the right of a non-believer is respected in the same manner as a Muslim's right. Allah knows best. (Committee Fatwa no: 18453)
Also, Sheikh Muhammad bin Salih Al-'Uthaimeen has ruled that whatever is customary among people should be the rule except when a user wants a copy for himself and the author or the copyright holder did not explicitly prohibit copying the software for private or public use. However, if the author or the copyright holder specifically stated that private and public copying of the software is prohibited, then it is not permissible to copy that software."
194,463,https://islamqa.info/en/answers/463,Circumcision for men,"Question

                Is circumcision mandatory for the man who adopts Islam?  What is the Islamic rule on 
female circumcision?",,"Praise be to Allah.All Praise be to Allaah. 
    To the dear inquirer: 
We appreciate the question you have submitted, 
  as it is an issue which is truly among those which may pose a hindrance in some 
  cases for those who wish to adopt Islaam. 
In reality the issue is really simpler 
  than many may think.  Male circumcision is among the rites of Islaam and 
  is part of the fitrah, or the innate disposition and natural character 
  and instinct of the human creation, and is from the religion of Ibrahim (peace 
  be upon him).  Allaah has said (interpretation of the meaning): ""Then 
  we revealed to you (the command) to follow the pure and uncorrupted religion 
  of Ibrahim."" 
The Prophet  
  (peace be upon him) said: 
""The Prophet Ibrahim (peace be 
  upon him) was circumcisized when he was eighty years old."" (Al-Bukhari, 
  Vol 6/p. 388, Al-Salfiyya printing). 
Male circumcision is obligatory for the 
  Muslim male if he is able to do it.  If, however, he is unable, whether 
  due to fear of injury or if a respected and authoritative doctor has told him 
  he will experience profuse bleeding which may make his life miserable, then 
  the obligation for cirumcision is waived and he does not commit a sin by not 
  having it done. 
It is not permissible under any circumstance 
  for the issue to become a hindrance for a person wanting to accept Islaam.  
  The validity of one's acceptance of Islaam is not dependent on his performance 
  of circumcision and it is valid for one to adopt Islaam even if he has not had 
  himself circumcized. 
Regarding the issue of female circumcision, 
  please refer to question # 328. 
I ask Allaah to bring you success in all 
  that is good and to protect you from all that is evil, and may the peace and 
  blessings of Allaah be upon our Prophet Muhammad  
  ."
195,476,https://islamqa.info/en/answers/476,Is It Prohibited to Dye Your Hair Black?,"Question

I would like to know if Muslims are allowed to dye their hair (not including henna).","Dyeing hair with pure black dye is prohibited in Islam. Prophet Muhammad said: ""Change this but avoid black."" But if the black dye is mixed with another colour, so that it is no longer black, there is nothing wrong with it.","Praise be to Allah.Jabir ibn `Abdullah (may Allah be pleased with him) reported that Abu Quhafah was brought on the day of the conquest of Makkah, and his head and beard were white like ""thaghamah"" (a plant whose flowers and fruit are white). The Messenger of Allah (Peace and Blessings of Allah be upon Him) said: ""Change this with something, but avoid black."" (Narrated by Muslim, 3962)

Ibn `Abbas (may Allah be pleased with him) said: ""The Messenger of Allah (Peace and Blessings of Allah be upon Him) said: `At the end of time there will be people who will dye their hair black like the crops of pigeons. They will never even smell the fragrance of Paradise."" (Narrated by Ahmad; see also Sahih Al-Jami`, 8153)

It was also reported from the Prophet (Peace and Blessings of Allah be upon Him) that one should change grey hair, using any colour except black . Abu Dharr (may Allah be pleased with him) reported that the Prophet (Peace and Blessings of Allah be upon Him) said: ""The best things with which to change grey hair are henna and ‘katam’ (a plant similar to henna which is used as a dye)."" (Narrated by At-Tirmidhi, 1675; he said: This is an authentic Hadith).

Dyeing hair with pure black dye is prohibited because the Prophet (Peace and Blessings of Allah be upon Him) said: ""Avoid black,"" and because of the threat of punishment reported with regard to this matter. This ruling applies to both men and women .

But if the black dye is mixed with another colour, so that it is no longer black, there is nothing wrong with it. (See, Fatwa Islamiyyah, 4/424, Fatawa Al-Mar’ah Al-Muslimah, 2/520)
For more details, please refer to the following answers: 82103 , 6455 , 235954 , 7227 , and 47652 . 
And Allah knows best."
196,480,https://islamqa.info/en/answers/480,Zakat on retirement income,"Question

                Is zakat due on Mutual Funds investments that are in a RRSP (Registered Retirement 
Savings Plan) account? If yes, then is it due on the total value or only on that portion 
which will be available after Income Tax has been deducted at source?
(RRSP is the Canadian equivalent of the U.S. 401K Plan. Under this scheme, one can 
save money towards future retirement income and defer current Income Tax on the 
portion of the income that is being saved in the plan. The deferred income tax is later 
deducted at source when the funds are eventually withdrawn from the plan; however, 
since the withdrawals are usually done after retirement (when there is no other 
significant source of income), one ends up being taxed at a substantially lower tax rate. 
Naturally, withdrawal prior to retirement will incur higher tax rates.)",,"Praise be to Allah.
If a person receives an amount of money that he could not have received before, like a bonus or 
lump sum paid at the end of a period of work, or on retirement, no zakat is due for the time that has 
passed. Zakat must be paid on whatever is left of that money after an entire Hijri year has passed.
If tax or anything else is deducted, then zakat is due only on the amount which the person receives, 
and after one year has passed.
And Allah knows best."
197,481,https://islamqa.info/en/answers/481,Why Tawaf Is Done Counterclockwise,"Question

 would like to know the significance and purpose of walking around the Ka`bah. Why is it to be kept to the left? Is the walking only done at Mecca or is it done on a daily basis as well?
Any information you could give me would be greatly appreciated.",The basic reason why tawaf is done counterclockwise is to follow the suit of the Prophet (peace and blessings of Allah be upon him). Following the Prophet (peace and blessings of Allah be upon him) has been ordained in the Quran and the Sunnah.,"Praise be to Allah.The basic reason for keeping the Ka`bah on one’s left when performing tawaf (circumambulation) is to follow the suit of the Prophet (peace and blessings of Allah be upon him). Following the Prophet has been ordained in the Quran (interpretation of the meaning):
""Obey the Prophet so that you may be blessed with mercy"" and ""Say (O Muhammad): if you really love Allah, then follow my suit and Allah will love you and grant you forgiveness of your sins"".
The Prophet (peace and blessings of Allah be upon him), furthermore, has said regarding the rituals of Hajj and `Umrah, ""Follow my suit in performing your rituals"". (See An-Nasai as reported by Jabir. Also, Sahih al-Jami`, hadith No. 7882)
This should suffice as the reason for a Muslim to perform tawaf around the Ka`bah in the way it is done, and we do not need other reasons that attempt to tie this act to the movement of galaxies and stars or the revolving of planets, etc. 
Muslims by nature must believe, submit to and act according to what was validly and duly recorded as the behavior or statements of the Prophet (peace and blessings of Allah be upon him). 
If on top of this a reason or some relevant wisdom comes to be known, then so be it, thanks to Allah. Otherwise, a Muslim submits to the order of Allah and His Prophet (peace and blessings of Allah be upon him) and will accordingly be recompensed for his compliance and deeds.
Finally, we must note that circumambulation is an act specified only for the Ka`bah as part of the worship and is not to be done in other places or situations as such.
Allah is the Most Knowledgeable and knows best."
198,485,https://islamqa.info/en/answers/485,Reciting verses of the Qur'aan a specific number of times and with a specific intention,"Question

                Assalam o Alaikum
I want to ask that , Is it right if somebody recite some Quranic aya for a specific purpose like 
for example If I read the one of the name of Allah for 99 times and after I make a Dua that 
May Allah fulfill my that wish. And its just begging from Allah with no shirk.
Please answer me 
Jazakallah",,"Praise be to Allah.Allaah has said (interpretation of the meaning): 
Unto Allaah belong the beautiful names. Pray to (and ask of) Him using them.
As part of the prayer to Allaah using His names, we call on him by saying, O Merciful, have mercy on 
me; O Forgiver, forgive my sins; O Provider, provide for me, etc.
However, to read a specific verse a certain number of times (whether 99 times or whatever else) without 
any valid documented evidence is a bidaah (an unacceptable act of innovation in religious practices) that 
is not permissible. Such acts invent a way to worship Allaah which was not revealed or taught by Islam. 
The Prophet  (peace be upon him) said:
Whoever innovates in our religion a new act (of worship) then his act is rejected"" (Sahih al-Bukhari, 
Fath al-Baari No. 2697.) 
The best guidance is that of the Prophet  . There is no allowance for innovation in the religion of 
Allaah. Is it possible for us to discover new things in our religion that the Prophet  didnt know? 
Indeed, it is incumbent upon us to read the Koran in the way the Prophet  read it, we need to pray in 
the way he prayed, and glorify Allaahs name in the way the Prophet  has been validly reported to have 
done. 
Only Allaah is the one who provides success, and He is the one who guides to the right path."
199,486,https://islamqa.info/en/answers/486,Religious celebrations in islam,"Question

I need to know about any celebrations of this religions or any festivals.",,"Praise be to Allah.As Muslims, we celebrate only two eid (festivals): eid ul-fitr (after the end of Ramadhan), and eid ul-Udh-ha, the day of the greater hajj (pilgrimage). During these two festivals, we offer felicitations, spread joy, and entertain children. But more importantly, we offer remembrance of Allaah's blessings, celebrate His name and offer the eid salaat (prayer). Other than these two occasions, we do not recognize or celebrate any other days in the year.
Of course, there are other joyous occasions for which the Islamic shariah dictates appropriate celebration, such as gathering for special meals during weddings or on the occasion of the birth of a child (aqeeqah). However, these days are not specified as particular days in the year; rather, they are celebrated as they happen in the course of a Muslims life."
200,487,https://islamqa.info/en/answers/487,Scientific achievements of Islam,"Question

                What were the Scientific Achievements of Islam? 
Please tell me the answer as soon as possible!",,"Praise be to Allah.The greatest achievement of Islam is that it has freed man from the worship of other beings and delivered 
him to the worship of the creator of all beings. As a religious text, the Qur'aan is not a record of inventions 
or discoveries in this life, but rather a revealed book that helps in the replenishment, enlightenment and 
solace of humanity. Through it, man can help in the development and civilization of this earth, and through 
it man can ponder the signs of Allaah's creation.
Accordingly, Muslims have concentrated on the study of this universe and made great strides in the fields 
of medicine, astronomy, mathematics, physics, etc. However, the specifics of these contributions are not 
the area of concentration for Muslim scholars, and there are perhaps better sources than this forum to 
explain the role of Muslim scientists, such as books written for this specific purpose. One can always refer 
to books written by fair-minded non-Muslims about the achievements of al-Khawarizmi in mathematics, Ibn 
Haytham in physics, al-Idrisi in geography,and Ibn Nafees in the circulatory system.etc."
201,488,https://islamqa.info/en/answers/488,Can a Woman Ask For Divorce?,"Question

If a couple differs in their Islamic perceptions; one who grew up in the West and the other in the East, and they quarrel constantly and can't come to an agreement, at what point is talaq considered? Is it wrong for a sister to ask for talaq? Will she be punished on the Day of Judgment? Does the ‘Arsh of Ar-Rahman shake once talaq is asked for? This is what one sister, growing up in the West, is being told by her husband from the East.",A woman can ask for divorce for valid reasons. The hadith stating that divorce causes the Throne of Allah to shake is fabricated and a false hadith.,"Praise be to Allah.Divorce in Islam
The divorce of a Muslim woman from her husband is an affair which is loathsome to Allah and not a praiseworthy event. This is due to the problems and possible evils. 
When can a woman ask for divorce?
However, if there is a situation in the marital life taking place between the man and the woman, due to a defect or defects in one or both of them, such as problems of Din, bad character, sickness, or a defect such as being sterile or similar, then out of the mercy of Allah, seeking divorce is permissible. In this case, it is okay and there is nothing prohibited in seeking a divorce .
Seeking divorce for no reason
The thing which is prohibited is a wife seeking a divorce from her husband for no (valid) reason in the Shari’ah. There is a serious promise made for seeking a divorce without a valid reason. It is reported in the hadith of the Prophet (peace and blessings of Allah be upon him), ""If a woman asks her husband for a divorce, for no reason, then the smell of Paradise is forbidden for her"". (At-Tirmidhi narrated it. He said this is a hasan hadith. Sunan At-Tirmidhi, 1187.)
Does the Throne of Allah shake because of divorce?
The hadith ""Marry and do not divorce for verily divorce causes the ‘Arsh (Throne of Allah) to shake "" is forged and da'if. (Al-Jami` al-Saghir, 2429)
And Allah knows best."
202,498,https://islamqa.info/en/answers/498,What do Muslims Believe?,"Question

                What do Muslims Believe?",,"Praise be to Allah.Muslims believe in one, unique, incomparable, and singular God, whose name in Arabic is ""Allaah"", 
literally meaning ""The God""; in the angels created by Him; in the prophets through whom His revelations 
were brought to mankind; in God's complete authority over human destiny, and in life after death.
Muslims believe in a chain of prophets (may the peace and blessings of Allaah be upon them all) starting 
with Adam and including Noah, Abraham, Ishmael, Isaac, Jacob, Joseph, Job, Moses, Aaron, David, 
Solomon, Elias, Jonah, John the Baptist and Jesus, peace be upon them.
God's final message to man, a reconfirmation of the eternal message and a summing-up, synopsis, and 
perfection of all that has gone before was revealed to the Prophet Muhammad 
, peace be upon him, 
the last prophet, through the angel Gabriel."
203,499,https://islamqa.info/en/answers/499,Who is Allaah?,"Question

                Who is Allaah?",,"Praise be to Allah.Allaah is the Arabic word for ""one God"", the same as Eloh in Aramaic. Allaah is not the God of 
Muslims only. He is God of all creations, because He is their Creator and Sustainer."
204,501,https://islamqa.info/en/answers/501,Do Muslims worship Muhammad(peace and blessings of Allah be upon him),"Question

                Do muslims worship Muhammad peace and blessings of God be upon him)?",,"Praise be to Allah.No. Muslims do not worship Muhammad 
(peace be upon him), or any other prophet. Muslims believe 
in all prophets including Adam, Noah, Abraham, David, Solomon, Moses, and Jesus, peace be upon 
them all. Muslims believe that Muhammad 
(peace and blessings of Allaah be upon him) was the last of 
the Prophets. They believe that only God is to be worshipped, not human beings nor anything else."
205,502,https://islamqa.info/en/answers/502,What Do Muslims Believe about Jesus?,"Question

What do Muslims believe about Jesus (peace be upon him)?","Muslims respect and revere Jesus (peace be upon him), and await his second coming. They consider him one of the greatest of God’s messengers to mankind. A Muslim never refers to him simply as `Jesus', but always adds the phrase ""peace be upon him."" For more, see the detailed answer.","Praise be to Allah.What do Muslims believe about Jesus?
Muslims respect and revere Jesus (peace be upon him), and await his second coming. They consider him one of the greatest of God’s messengers to mankind. A Muslim never refers to him simply as `Jesus', but always adds the phrase ""peace be upon him."" 
Creation of Jesus
The Quran confirms his virgin birth (a chapter of the Quran is entitled `Mary') in her time, and Mary is considered the purest woman in all creation. 
The Quran describes the creation of Jesus as follows (interpretation of the meaning): 
""Behold! the Angel said, `God has chosen you, and purified you, and chosen you above the women of all nations. O Mary, God gives you glad tidings of a word from Him, whose name shall be the Messiah, Jesus son of Mary, honored in this world and the Hereafter, and one that shall speak to the people from his cradle and in maturity, and shall be of the righteous.' She said: `O my Lord! How shall I have a son when no man has touched me?' He said: `Even so; God creates what He wills. When He decrees a thing, He but says to it, ""Be!"" and it is."" (Al Imran 3:42-7) 
Jesus (peace be upon him) was born miraculously through the same power which had brought Adam (peace be upon him) into being without a father: ""Truly, the likeness of Jesus unto Allah is as the likeness of Adam. He created him of dust, and then said to him, `Be!' and he was."" (Al Imran 3:59) 
Miracles of Jesus 
During his prophetic mission, Jesus (peace be upon him) was granted and performed many miracles. The Quran tells us that he said (interpretation of meaning): 
""I have come to you with a sign from your Lord: I make for you out of the clay, as it were, the figure of a bird, and breathe into it and it becomes a bird by Allah’s leave. And I heal the blind and the lepers, and I raise the dead by Allah’s leave."" (Al Imran 3:49) 
Other miracles include speaking soon after birth in defense of his mother's piety. God's other gifts to him included healing the blind and the sick, reviving the dead, and, most importantly, the message he was carrying. 
Was Jesus crucified?
These miracles were granted to him by God to establish him as a prophet. According to the Quran, he was not crucified , but it only appeared so; instead, Allah raised him unto Heaven. (An-Nisa 4:157) 
Neither Muhammad (peace and blessings be upon him), nor Jesus (peace be upon him), came to change the basic doctrine of the belief in one God , brought by earlier prophets, but to confirm and renew it. 
In the Quran Jesus (peace be upon him), is reported as saying that he came: ""To attest the law which was before me. And to make lawful to you part of what was forbidden you; I have come to you with a sign from your Lord, so fear God and obey me."" (al Imran 3:50)
And Allah knows best."
206,555,https://islamqa.info/en/answers/555,References to propagational issues,"Question

                Bismilla Arrahman Arraheem 
Dear shaikh , Assalamu Alaycom wa Rahmatu Allah Wabaracatu.
In your book ""MASA'IL Fi ADA'WA wa ATTARBIA"" that was written in the 
15th of Ramadan 1412 Hijri in the fourth chapter ""Al-iftiqar ila Attaswurat 
Al-islamiya"" page #36 you answered with fifty 50 titles and in the end of the page 
you mentioned that you have the intention to prepare a reference for every subject 
from the fifty subjects or titles that you mentioned earlier .PLEASE if you have 
written them please let me know how can I get them? because after reading these 
points I do believe that they are a must for every Invitor ""DA'EE"" to ALLAH and 
very important for any one wants to serve and work for ISLAM . When I was 
reading the titles and the thoughts you have written I considered them the practical 
instructions and guide lines which I really need as an invitor "" Da'ee to Allah"" as 
well as other brothers who are in the field of da'wa and establishing the Deen of 
Allah .
Again please let me know where can I get the books that you wrote under the titles 
mentioned above ?
Jazak Allahu Khaiyra Wassalamu Alaycum wa Rahmatu ALLAH wa Baracatu",,"Praise be to Allah.I mentioned some of the topics you referred to in a book entitled ""ad-Dalil ila Maraji 
al-Mawduat al-Islamiyyah"" which also included references for such topics. The said book 
comes in 3 volumes of which only Volume 1 has been issued. Volumes 2 and 3 are being 
printed and will soon be made available by Dar al-Watan for Publishing, Riyadh. Other topics 
have been included in recorded lectures, teaching sessions and Islamic topics. Other topics 
need to be discussed and included. 
I ask Allah to help us all serve His religion and the call to His way."
